frame,time,u,v,X_world,Y_world,yaw_deg,area
0,0.0,2210.0294808934545,699.8281422678807,1226.5344098023545,1376.359325128674,155.70154333143495,10707.5
1,0.03336666666666667,2219.6732772061114,702.8743529778609,1236.9759389412209,1373.012576381168,154.01121652245158,10690.0
2,0.06673333333333334,2230.240572516701,707.0106293313355,1248.41735872315,1368.4682165113868,153.7755085628896,10678.0
3,0.10010000000000001,2240.2572076297683,710.9629143214509,1259.2625678104903,1364.1260005257625,152.28471711845555,10660.0
4,0.13346666666666668,2249.67053049778,713.7407805562048,1269.4545587892815,1361.0740710215282,152.21136662199717,10697.5
5,0.16683333333333333,2259.106452418876,717.550313876136,1279.6710182101303,1356.888690533799,-153.7819811915759,10673.0
6,0.20020000000000002,2269.9042108046724,722.7275965591799,1291.3619649249379,1351.2006190296856,-154.754362587629,10714.5
7,0.23356666666666667,2279.342714430656,725.8239444314368,1301.581219608766,1347.7987866057604,-155.2840463976384,10677.5
8,0.26693333333333336,2287.754771706587,729.0932042165668,1310.6891205138447,1344.2069828427082,-155.5736076086529,10688.0
9,0.3003,2298.024208566108,733.2538795779019,1321.8080430555526,1339.6358167678509,-156.6646536707253,10740.0
10,0.33366666666666667,2308.3090091351914,738.4533046983207,1332.9436001896836,1333.9234182615678,-157.50715693490417,10709.5
11,0.3670333333333333,2317.355660918204,742.2545127752211,1342.7385891275492,1329.7471843823103,-158.9328052444575,10756.5
12,0.40040000000000003,2326.790531113385,745.9738473940408,1352.9539098239336,1325.6609015666436,-160.153394474191,10751.0
13,0.4337666666666667,2336.7159180640065,751.571786892099,1363.7003227197995,1319.5106713995833,-161.40650822639276,10764.5
14,0.46713333333333334,2346.6300220546277,756.261956538503,1374.4345193315592,1314.3577713266282,-162.7072664781927,10806.5
15,0.5005000000000001,2355.640174861362,761.4214436875357,1384.189990105416,1308.6892510574205,-163.4745464400653,10789.5
16,0.5338666666666667,2365.146234865332,767.1934920929083,1394.4823894167741,1302.3477344617572,-164.9241956045595,10792.0
17,0.5672333333333334,2374.492048773703,773.1841068199731,1404.6012871088171,1295.766087870827,-166.1395053313922,10784.5
18,0.6006,2383.223871596233,778.9602913206847,1414.055404500036,1289.4200271141672,-166.77716430520033,10778.5
19,0.6339666666666667,2392.209553825238,784.955737856878,1423.784380495061,1282.8330720095823,-167.44388483161563,10788.0
20,0.6673333333333333,2401.0704408352667,792.0750657385923,1433.3782382365387,1275.0113538358685,-168.86114797114155,10775.0
21,0.7007,2409.997406446832,798.3213227121156,1443.0436405877351,1268.1488434276907,-169.82595583906846,10796.0
22,0.7340666666666666,2418.3294146687645,805.1598630010183,1452.06487079771,1260.6356152482767,-171.00714780845794,10803.0
23,0.7674333333333333,2427.002652110895,812.3905079100749,1461.4555566380416,1252.6915975499064,-172.0169866450982,10809.0
24,0.8008000000000001,2435.1536042909324,818.5866586519935,1470.280753887974,1245.8841368358671,-172.84317905452855,10813.5
25,0.8341666666666667,2442.769561797233,824.4685731032035,1478.5267018159736,1239.4219148503585,-173.49100755243558,10805.5
26,0.8675333333333334,2450.843474508353,831.109980888971,1487.2684869081352,1232.125268194934,-174.60929939168344,10814.0
27,0.9009,2458.812960212858,839.2920611348308,1495.897206813402,1223.1359468964724,-176.04680768735463,10774.0
28,0.9342666666666667,2466.5666728315146,846.1691017816411,1504.292304928015,1215.5804199278828,-177.36812360895593,10814.0
29,0.9676333333333333,2473.5006017404185,853.0178362031722,1511.7998069948233,1208.0559918664333,-177.9490462443229,10802.0
30,1.0010000000000001,2480.1203763589883,861.3591887646678,1518.967167993708,1198.8916845037706,-178.8794288585476,10823.0
31,1.0343666666666667,2487.253926459719,869.2720189701896,1526.6908038758331,1190.1981773564164,-179.50356255739064,10824.0
32,1.0677333333333334,2493.6834737763043,877.5321176958143,1533.6522020098575,1181.123140303434,179.63894396109603,10858.5
33,1.1011,2500.509488848871,886.184313001185,1541.0428636302202,1171.617322565167,177.8359634899733,10828.5
34,1.1344666666666667,2506.794543078933,893.74985781262,1547.847816239642,1163.305363862206,176.746765513745,10842.5
35,1.1678333333333333,2513.05266872248,901.504886393274,1554.6236127354703,1154.7852269904702,176.9592464679385,10863.5
36,1.2012,2519.6578802351214,910.6055749448934,1561.7752059713314,1144.7866678258695,174.85170488446528,10888.0
37,1.2345666666666666,2525.6636556773196,920.3199596496859,1568.2777779096143,1134.1138654694726,173.70012368246415,10904.5
38,1.2679333333333334,2531.698176091975,927.9390603739546,1574.8114725985004,1125.7430670468525,173.20951303087725,10901.5
39,1.3013000000000001,2537.457176880095,936.2536411101951,1581.0468567346204,1116.6081728079596,171.7215433627504,10917.0
40,1.3346666666666667,2543.2570494607885,945.8284300247457,1587.3264935694986,1106.0887387115515,171.31895949396335,10911.0
41,1.3680333333333334,2549.145009934281,954.767858780376,1593.7015049093563,1096.267349175592,169.35739622134824,10905.0
42,1.4014,2554.328500198831,963.3954605243032,1599.3137724110345,1086.7885513905699,168.17759648787657,10897.0
43,1.4347666666666667,2560.005294648732,972.9757303095686,1605.460150117727,1076.2630956827416,167.7493276090518,10891.5
44,1.4681333333333333,2565.0015252737862,982.8471065556266,1610.8696679014581,1065.4178130568812,167.17412600248792,10927.0
45,1.5015,2570.4357459154066,991.7229500687127,1616.7534061448753,1055.6662820603021,165.85451907281004,10915.0
46,1.5348666666666666,2575.1788981747877,1001.1524866420058,1621.8889109731356,1045.3064308481587,164.22801247270624,10948.5
47,1.5682333333333334,2579.562462887681,1011.310281825241,1626.635083247814,1034.1464712972522,163.36480068980313,10946.5
48,1.6016000000000001,2584.4504393190555,1020.52329306242,1631.9273920734688,1024.024507731905,162.56163281932172,10926.0
49,1.6349666666666667,2588.361426478667,1029.9836263199657,1636.1618952778988,1013.6308214458736,161.4001675157486,10922.0
50,1.6683333333333334,2592.24058660325,1040.713619317662,1640.3619387215788,1001.8422112528431,160.26999924158113,10933.0
51,1.7017,2596.1529924692823,1050.4899996951126,1644.59797798753,991.1012967533368,159.75917733567078,10933.0
52,1.7350666666666668,2599.8483710994124,1059.4877088578621,1648.5990375697409,981.21587688655,158.19121508546937,10922.5
53,1.7684333333333333,2603.46849681548,1069.1475215468101,1652.5186193324823,970.6030306011753,157.6824788836796,10964.5
54,1.8018,2606.6669711362806,1080.0529624893434,1655.9816707841935,958.6216628330658,155.94061080687908,10948.0
55,1.8351666666666666,2610.331066587559,1089.5568131684238,1659.9488594495008,948.1801657125643,157.02881983031511,10955.5
56,1.8685333333333334,2613.3189206465163,1099.2790156150124,1663.183868175094,937.4987743188171,154.2195759828661,10951.0
57,1.9019,2616.056666060936,1109.887440184142,1666.148079321066,925.8437264511733,153.18205899273713,11006.0
58,1.9352666666666667,2619.000958772771,1119.651098023102,1669.3359233139574,915.1167896911645,153.00816867968572,10951.5
59,1.9686333333333335,2621.3679226611857,1129.1809697800106,1671.8986819631725,904.6467042627876,151.3132659183485,10947.5
60,2.0020000000000002,2623.6125404125496,1140.1188166901932,1674.3289740283128,892.6297333660807,149.94394284640666,10980.5
61,2.0353666666666665,2625.4401637224023,1150.8302521264131,1676.3077779584262,880.861511616773,149.14308660470775,10953.5
62,2.0687333333333333,2627.5173063481934,1160.918786276476,1678.556741390422,869.7776463673081,148.7762298860984,10969.0
63,2.1021,2629.2862422562516,1171.8711924993563,1680.4720033090646,857.7446797414234,147.57902291656754,11003.5
